docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
  86:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.8)
  87:           198           3168  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.8)
  88:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.8)
  89:           182           2912  java.util.HashMap$EntrySet (java.base@11.0.8)
  90:            54           2824  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.8)
  91:           114           2736  java.util.ImmutableCollections$List12 (java.base@11.0.8)
  92:            53           2544  javax.management.MBeanInfo (java.management@11.0.8)
  93:            37           2520  [Ljava.util.Hashtable$Entry; (java.base@11.0.8)
  94:            51           2448  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  95:            61           2440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.8)
  96:            61           2440  java.security.CodeSource (java.base@11.0.8)
  97:            41           2296  java.security.Provider$Service (java.base@11.0.8)
  98:            95           2280  java.security.Provider$ServiceKey (java.base@11.0.8)
  99:            57           2280  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@11.0.8)
 100:           138           2208  java.util.ImmutableCollections$ListN (java.base@11.0.8)
 101:            91           2184  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
 102:            68           2176  java.util.logging.LogManager$LogNode (java.logging@11.0.8)
 103:            44           2112  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.8)
 104:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.8)
 105:           128           2048  java.lang.Character (java.base@11.0.8)
 106:            32           2048  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.8)
 107:            64           2048  java.lang.ref.ReferenceQueue (java.base@11.0.8)
 108:            23           2024  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.8)
 109:            63           2016  javax.management.MBeanAttributeInfo (java.management@11.0.8)
 110:            83           1992  java.lang.Class$AnnotationData (java.base@11.0.8)
 111:            45           1984  [Ljava.lang.reflect.Field; (java.base@11.0.8)
 112:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@11.0.8)
 113:            48           1920  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@11.0.8)
 114:            37           1776  java.util.Hashtable (java.base@11.0.8)
 115:            44           1760  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.8)
 116:            43           1720  java.security.AccessControlContext (java.base@11.0.8)
 117:            70           1680  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.8)
 118:            68           1632  java.lang.module.ModuleDescriptor$Provides (java.base@11.0.8)
 119:            33           1584  java.time.temporal.ValueRange (java.base@11.0.8)
 120:             1           1568  [[B (java.base@11.0.8)
 121:            97           1552  java.util.Collections$UnmodifiableSet (java.base@11.0.8)
 122:            38           1520  java.security.ProtectionDomain (java.base@11.0.8)
 123:            38           1520  javax.management.MBeanOperationInfo (java.management@11.0.8)
 124:            63           1512  java.lang.RuntimePermission (java.base@11.0.8)
 125:            88           1408  java.util.LinkedHashMap$LinkedValues (java.base@11.0.8)
 126:            29           1392  java.util.TreeMap (java.base@11.0.8)
