jmap -histo 7

 num     #instances         #bytes  class name
 119:            14            448  java.io.File
 120:             7            448  java.lang.ClassValue$ClassValueMap
 121:            13            416  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 122:            10            400  java.lang.ref.Finalizer
 123:             7            392  jdk.nashorn.internal.runtime.UserAccessorProperty
 124:             6            384  [J
 125:             1            384  java.lang.ref.Finalizer$FinalizerThread
 126:             6            384  java.nio.DirectByteBuffer
 127:             1            384  java.util.logging.LogManager$Cleaner
 128:             8            384  java.util.logging.LogManager$LoggerWeakRef
 129:             1            376  java.lang.ref.Reference$ReferenceHandler
 130:            13            360  [Ljava.io.ObjectStreamField;
 131:             5            352  [Lsun.invoke.util.Wrapper;
 132:            22            352  sun.reflect.DelegatingConstructorAccessorImpl
 133:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 134:             6            336  java.nio.DirectLongBufferU
 135:             7            336  java.util.Hashtable
 136:             6            336  java.util.LinkedHashMap
 137:             6            336  java.util.ResourceBundle$CacheKey
 138:            14            336  sun.misc.MetaIndex
 139:             6            336  sun.util.calendar.ZoneInfo
 140:            10            320  java.lang.OutOfMemoryError
 141:             8            320  java.security.ProtectionDomain
 142:            10            320  java.util.logging.LogManager$LogNode
 143:            13            312  java.lang.ClassValue$Version
 144:             6            288  java.nio.HeapByteBuffer
 145:             6            288  java.util.ResourceBundle$BundleReference
 146:             9            288  java.util.logging.Level
 147:             7            280  jdk.nashorn.internal.runtime.NativeJavaPackage
 148:            17            272  sun.invoke.util.ValueConversions$WrapperCache
 149:            11            264  java.lang.ProcessEnvironment$Value
 150:            11            264  java.lang.ProcessEnvironment$Variable
 151:            11            264  jdk.nashorn.internal.runtime.Context$BuiltinSwitchPoint
 152:             8            256  java.util.Vector
 153:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 154:             8            256  sun.reflect.UnsafeQualifiedObjectFieldAccessorImpl
 155:            10            240  java.lang.RuntimePermission
 156:             5            240  java.lang.invoke.BoundMethodHandle$Species_L3I
 157:             5            240  java.lang.invoke.MethodHandleImpl$WrappedMember
 158:            10            240  java.lang.invoke.MethodHandles$Lookup
 159:             5            240  sun.nio.cs.StreamEncoder
 160:             7            224  jdk.nashorn.internal.codegen.CompilerConstants$3
 161:             9            216  java.util.Collections$UnmodifiableRandomAccessList
 162:             9            216  java.util.logging.Level$KnownLevel
 163:             3            216  java.util.logging.Logger
 164:             9            216  sun.util.logging.PlatformLogger$Level
 165:            13            208  java.lang.ClassValue$Identity
 166:             1            200  [Ljdk.nashorn.internal.codegen.CompilerConstants;
 167:             5            200  java.util.IdentityHashMap
 168:             5            200  jdk.nashorn.internal.codegen.types.ObjectType
 169:             5            200  sun.nio.cs.UTF_8$Decoder
 170:             6            192  java.lang.invoke.LambdaForm$BasicType
 171:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 172:             8            192  java.util.Collections$SingletonList
 173:             6            192  java.util.ResourceBundle$LoaderReference
 174:             2            192  java.util.jar.JarFile$JarFileEntry
 175:            11            176  java.lang.invoke.MutableCallSite
 176:             7            168  java.util.Arrays$ArrayList
 177:             7            168  jdk.nashorn.internal.runtime.JSType
 178:             4            160  java.io.BufferedWriter
 179:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry
 180:             4            160  java.lang.invoke.DirectMethodHandle$Interface
 181:             5            160  java.lang.invoke.DirectMethodHandle$Special
 182:             5            160  java.lang.ref.WeakReference
 183:             5            160  java.security.Permissions
 184:             5            160  jdk.nashorn.internal.runtime.linker.LinkerCallSite
 185:             3            144  java.util.Properties
 186:             6            144  java.util.concurrent.atomic.AtomicLong
 187:             6            144  sun.misc.PerfCounter
 188:             3            144  sun.misc.URLClassPath
 189:             4            136  [Lsun.invoke.util.ValueConversions$WrapperCache;
 190:             8            128  [Ljava.security.Principal;
 191:             2            128  java.io.ExpiringCache$1
 192:             4            128  java.security.CodeSource
 193:             8            128  java.security.ProtectionDomain$Key
 194:             4            128  java.util.Stack
 195:             4            128  java.util.concurrent.locks.ReentrantLock$NonfairSync
 196:             2            128  java.util.jar.JarFile
 197:             4            128  jdk.nashorn.internal.codegen.CompilerConstants$8
 198:             1            128  jdk.nashorn.internal.objects.NativeArray$Prototype
 199:             1            128  jdk.nashorn.internal.objects.NativeString$Prototype
 200:             4            128  jdk.nashorn.internal.runtime.linker.NashornCallSiteDescriptor
 201:             1            120  [[Ljava.lang.String;
 202:             5            120  java.io.OutputStreamWriter
 203:             3            120  java.util.PropertyResourceBundle
 204:             1            120  jdk.nashorn.internal.objects.NativeObject$Constructor
 205:             5            120  jdk.nashorn.internal.runtime.UserAccessorProperty$Accessors
 206:             1            112  jdk.nashorn.internal.objects.NativeMath$Constructor
 207:             1            104  jdk.nashorn.internal.runtime.ScriptEnvironment
 208:             1             96  [Ljava.lang.invoke.MethodType;
 209:             4             96  [Ljava.security.ProtectionDomain;
 210:             3             96  java.io.FileDescriptor
 211:             4             96  java.lang.Class$AnnotationData
 212:             2             96  java.lang.ThreadGroup
 213:             6             96  java.lang.ThreadLocal
 214:             2             96  java.lang.invoke.BoundMethodHandle$Species_L4
 215:             2             96  java.lang.invoke.BoundMethodHandle$Species_LLILL
 216:             2             96  java.lang.invoke.MethodHandleImpl$CountingWrapper
 217:             3             96  java.util.Collections$UnmodifiableMap
 218:             2             96  java.util.TreeMap
 219:             4             96  java.util.concurrent.CopyOnWriteArrayList
 220:             6             96  java.util.concurrent.atomic.AtomicReference
 221:             2             96  java.util.zip.Inflater
 222:             3             96  java.util.zip.ZipCoder
 223:             1             96  sun.misc.Launcher$AppClassLoader
 224:             1             88  sun.misc.Launcher$ExtClassLoader
 225:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 226:             3             80  [Ljdk.nashorn.internal.codegen.types.Type;
 227:             2             80  java.io.ExpiringCache
 228:             2             80  java.io.PrintWriter
 229:             2             80  java.lang.ClassLoader$NativeLibrary
 230:             2             80  java.lang.invoke.BoundMethodHandle$Species_D
 231:             1             80  jdk.nashorn.internal.runtime.StructureLoader
 232:             2             80  jdk.nashorn.internal.scripts.JO
 233:             1             80  sun.net.www.protocol.jar.URLJarFile
 234:             2             80  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 235:             1             72  [Ljava.lang.invoke.LambdaFormEditor$Transform$Kind;
 236:             3             72  java.lang.annotation.RetentionPolicy
 237:             3             72  java.util.ArrayDeque
 238:             1             72  java.util.logging.LogManager$RootLogger
 239:             3             72  java.util.logging.Logger$LoggerBundle
 240:             3             72  jdk.nashorn.internal.runtime.Context$FieldMode
 241:             3             72  jdk.nashorn.internal.runtime.ScriptEnvironment$FunctionStatementBehavior
 242:             3             72  sun.misc.Signal
 243:             3             72  sun.reflect.annotation.AnnotationInvocationHandler
 244:             2             64  [Ljava.lang.Thread;
 245:             2             64  [Ljava.lang.annotation.RetentionPolicy;
 246:             2             64  java.io.FileOutputStream
 247:             2             64  java.io.PrintStream
 248:             2             64  java.lang.VirtualMachineError
 249:             2             64  java.lang.ref.ReferenceQueue$Null
 250:             2             64  java.lang.reflect.Proxy$Key1
 251:             2             64  java.lang.reflect.WeakCache$CacheValue
 252:             2             64  java.security.BasicPermissionCollection
 253:             4             64  java.util.concurrent.atomic.AtomicInteger
 254:             4             64  java.util.concurrent.locks.ReentrantLock
 255:             2             64  jdk.internal.dynalink.linker.GuardedInvocation
 256:             1             64  jdk.nashorn.internal.objects.NativeError$Constructor
 257:             1             64  jdk.nashorn.internal.objects.NativeError$Prototype
 258:             1             64  jdk.nashorn.internal.objects.NativeFunction$Prototype
 259:             1             64  jdk.nashorn.internal.objects.NativeNumber$Prototype
 260:             1             64  jdk.nashorn.internal.objects.NativeObject$Prototype
 261:             1             64  jdk.nashorn.internal.runtime.Context
 262:             1             64  jdk.nashorn.internal.runtime.Context$ClassCache
 263:             2             64  sun.reflect.UnsafeQualifiedIntegerFieldAccessorImpl
 264:             2             64  sun.reflect.annotation.AnnotationType
 265:             1             56  [Ljava.lang.Runnable;
 266:             1             56  [Lsun.util.logging.PlatformLogger$Level;
 267:             1             56  java.util.logging.ConsoleHandler
 268:             1             56  java.util.logging.LogManager
 269:             1             56  jdk.nashorn.internal.objects.NativeArray$Constructor
 270:             1             56  jdk.nashorn.internal.objects.NativeBoolean$Constructor
 271:             1             56  jdk.nashorn.internal.objects.NativeFunction$Constructor
 272:             1             56  jdk.nashorn.internal.objects.NativeNumber$Constructor
 273:             1             56  jdk.nashorn.internal.objects.NativeReferenceError$Constructor
 274:             1             56  jdk.nashorn.internal.objects.NativeString$Constructor
 275:             1             56  jdk.nashorn.internal.objects.NativeSyntaxError$Constructor
 276:             1             56  jdk.nashorn.internal.objects.NativeTypeError$Constructor
 277:             1             48  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic;
 278:             1             48  [Ljava.util.List;
 279:             1             48  [Ljdk.internal.dynalink.linker.TypeBasedGuardingDynamicLinker;
