docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
  85:            53           2544  javax.management.MBeanInfo (java.management@11.0.8)
  86:            61           2440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.8)
  87:            50           2400  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  88:            41           2296  java.security.Provider$Service (java.base@11.0.8)
  89:            95           2280  java.security.Provider$ServiceKey (java.base@11.0.8)
  90:            57           2280  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@11.0.8)
  91:           138           2208  java.util.ImmutableCollections$ListN (java.base@11.0.8)
  92:            91           2184  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  93:            68           2176  java.util.logging.LogManager$LogNode (java.logging@11.0.8)
  94:            44           2112  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.8)
  95:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.8)
  96:            65           2080  sun.nio.fs.UnixPath (java.base@11.0.8)
  97:           128           2048  java.lang.Character (java.base@11.0.8)
  98:            32           2048  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.8)
  99:            64           2048  java.lang.ref.ReferenceQueue (java.base@11.0.8)
 100:            63           2016  javax.management.MBeanAttributeInfo (java.management@11.0.8)
 101:            83           1992  java.lang.Class$AnnotationData (java.base@11.0.8)
 102:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@11.0.8)
 103:            49           1960  java.security.CodeSource (java.base@11.0.8)
 104:            48           1920  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@11.0.8)
 105:            44           1760  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.8)
 106:            25           1752  [Ljava.util.Hashtable$Entry; (java.base@11.0.8)
 107:            43           1720  java.security.AccessControlContext (java.base@11.0.8)
 108:            70           1680  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.8)
 109:            68           1632  java.lang.module.ModuleDescriptor$Provides (java.base@11.0.8)
 110:            33           1584  java.time.temporal.ValueRange (java.base@11.0.8)
 111:             1           1568  [[B (java.base@11.0.8)
 112:            97           1552  java.util.Collections$UnmodifiableSet (java.base@11.0.8)
 113:            38           1520  java.io.FileDescriptor (java.base@11.0.8)
 114:            38           1520  javax.management.MBeanOperationInfo (java.management@11.0.8)
 115:            63           1512  java.lang.RuntimePermission (java.base@11.0.8)
 116:            59           1416  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@11.0.8)
 117:            29           1392  java.util.TreeMap (java.base@11.0.8)
 118:            29           1392  java.util.WeakHashMap (java.base@11.0.8)
 119:            58           1392  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@11.0.8)
 120:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@11.0.8)
 121:            43           1376  jdk.jfr.internal.RequestEngine$RequestHook (jdk.jfr@11.0.8)
 122:            34           1360  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.8)
 123:            42           1344  javax.management.MBeanParameterInfo (java.management@11.0.8)
 124:            44           1320  [Ljavax.management.MBeanOperationInfo; (java.management@11.0.8)
 125:            55           1312  [Ljavax.management.ObjectName$Property; (java.management@11.0.8)
 126:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@11.0.8)
 127:            27           1296  jdk.jfr.internal.RepositoryChunk (jdk.jfr@11.0.8)
 128:            40           1280  java.util.PropertyPermission (java.base@11.0.8)
 129:            32           1280  jdk.jfr.internal.settings.StackTraceSetting (jdk.jfr@11.0.8)
 130:            53           1272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.8)
 131:            22           1232  java.util.logging.Logger (java.logging@11.0.8)
 132:            16           1216  [S (java.base@11.0.8)
 133:            30           1200  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.8)
 134:            30           1200  java.time.temporal.ChronoField (java.base@11.0.8)
 135:            25           1200  java.util.Hashtable (java.base@11.0.8)
 136:            38           1184  [Ljava.math.BigInteger; (java.base@11.0.8)
 137:            29           1160  java.lang.ref.Finalizer (java.base@11.0.8)
 138:            48           1152  java.security.Provider$UString (java.base@11.0.8)
 139:            34           1088  java.util.LinkedList (java.base@11.0.8)
 140:            27           1080  java.lang.WeakPairMap$Pair$Weak (java.base@11.0.8)
 141:            19           1064  javax.management.openmbean.ArrayType (java.management@11.0.8)
 142:             2           1056  [Ljava.util.TimerTask; (java.base@11.0.8)
 143:            66           1056  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.8)
 144:            44           1056  java.util.Arrays$ArrayList (java.base@11.0.8)
 145:             1           1040  [Ljava.lang.Byte; (java.base@11.0.8)
 146:             1           1040  [Ljava.lang.Integer; (java.base@11.0.8)
 147:             1           1040  [Ljava.lang.Long; (java.base@11.0.8)
 148:            26           1040  java.security.ProtectionDomain (java.base@11.0.8)
 149:            65           1040  jdk.internal.module.SystemModuleFinders$3 (java.base@11.0.8)
 150:            43           1032  javax.management.ObjectName$Property (java.management@11.0.8)
 151:            41           1024  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@11.0.8)
 152:            53           1000  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.8)
 153:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@11.0.8)
 154:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@11.0.8)
 155:            11            968  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.8)
 156:            30            960  java.security.Provider$EngineDescription (java.base@11.0.8)
 157:            28            936  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@11.0.8)
 158:            23            920  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@11.0.8)
 159:            23            920  java.util.logging.Logger$ConfigurationData (java.logging@11.0.8)
 160:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
 161:            28            896  javax.management.ObjectName (java.management@11.0.8)
 162:            37            888  java.lang.module.ResolvedModule (java.base@11.0.8)
